customer_id,name,age,income,employment_status,region,signup_date
20000,Samuel Gordon,51,61441,Unemployed,Central,2021-12-06 04:54:13
20001,Adam Fuentes,75,63017,Unemployed,South,2018-12-29 15:15:59
20002,David Schwartz,69,34181,Unemployed,East,2017-12-09 18:08:51
20003,Joseph Tran,46,39746,Self-Employed,South,2015-09-10 03:30:02
20004,Cathy Gonzales,52,43820,Self-Employed,North,2020-11-08 22:54:45
20005,Raymond Harrell,65,76629,Student,Central,2019-08-08 17:11:14
20006,Mallory Thompson,50,70365,Self-Employed,North,2016-05-10 08:34:17
20007,Jessica Jenkins,26,51502,Self-Employed,South,2015-01-07 21:57:40
20008,Gary Schroeder,65,91099,Employed,South,2021-05-30 00:55:12
20009,Debra Olson,84,30335,Student,North,2022-02-07 03:59:47
20010,Trevor Woods,53,46464,Student,Central,2017-04-01 22:29:08
20011,Robert Carlson,61,67627,Employed,East,2017-07-05 00:24:48
20012,Daniel Butler MD,77,50662,Unemployed,West,2019-01-21 04:51:16
20013,Larry Dominguez,80,37272,Employed,North,2018-03-10 20:38:22
20014,Marcus Nguyen,22,55966,Employed,Central,2016-11-24 11:32:37
20015,Nicole Phillips,57,90138,Employed,Central,2022-09-06 20:12:46
20016,John Weeks,36,37463,Self-Employed,West,2020-12-28 08:47:42
20017,Christopher Wright,64,39022,Employed,East,2020-11-15 11:13:32
20018,David Roy,82,33865,Retired,East,2019-04-03 07:46:56
20019,Rhonda Stevens,84,43704,Employed,South,2020-09-01 04:36:51
20020,Eric Hatfield,35,66241,Unemployed,South,2015-04-15 16:31:57
20021,Angela Ray,67,73514,Unemployed,North,2022-11-15 01:49:38
20022,Joanna Davis,47,31018,Unemployed,East,2017-02-18 16:55:47
20023,Erica Robertson,83,59131,Employed,North,2020-02-03 12:42:40
20024,Elizabeth Mccarthy,22,61605,Student,South,2016-09-29 02:15:32
20025,William Martinez,59,39764,Unemployed,North,2020-01-25 01:08:33
20026,Anna Martinez,22,61128,Employed,West,2016-06-01 14:35:02
20027,Alexa Gomez,67,55638,Unemployed,North,2020-04-22 05:16:39
20028,Justin Peterson,75,66379,Self-Employed,South,2022-12-17 05:30:58
20029,Jennifer Ellis,25,16603,Self-Employed,South,2015-09-11 00:37:21
20030,Haley Smith,48,54367,Employed,West,2022-02-14 17:35:16
20031,Joseph Gardner,29,62213,Unemployed,West,2017-05-02 20:21:52
20032,Nicholas Chapman,38,65702,Unemployed,East,2020-04-03 06:00:45
20033,Stacy Hamilton,79,62094,Retired,West,2017-02-07 23:01:59
20034,Sandra Steele,50,31897,Unemployed,West,2022-12-22 20:44:03
20035,Sean Leon,43,71405,Student,East,2020-10-09 14:11:47
20036,Kevin Nguyen,57,61183,Self-Employed,West,2021-12-03 03:28:51
20037,Jeremy Montgomery,82,50282,Unemployed,Central,2021-01-13 07:18:58
20038,Stephanie Petty,76,50539,Student,Central,2015-03-23 04:08:15
20039,Colleen Fitzgerald,32,76456,Employed,Central,2018-12-06 07:59:02
20040,Laura Reid,18,60684,Self-Employed,West,2019-07-29 00:00:13
20041,James Guerrero,28,52334,Employed,South,2020-02-22 07:14:47
20042,Michael West,72,37253,Unemployed,South,2016-03-31 23:18:06
20043,Melinda Collins,19,46599,Employed,East,2019-10-18 10:26:25
20044,Mary Ford,82,37212,Self-Employed,South,2022-10-01 15:35:18
20045,Kayla Stevens,61,23734,Employed,South,2016-12-12 09:28:47
20046,Connie Kim,33,53356,Employed,East,2017-08-02 00:11:37
20047,Dr. Nichole Peterson,39,23693,Employed,Central,2018-01-16 11:50:44
20048,Benjamin Diaz,35,40564,Student,East,2021-09-06 21:28:00
20049,Jordan Norton,64,45360,Student,South,2015-05-02 14:44:35
20050,Kenneth Riley,47,28104,Unemployed,South,2019-01-26 22:33:02
20051,Jeffrey Pearson,27,65280,Employed,East,2020-06-17 16:01:58
20052,Ashley Austin,75,48286,Student,West,2021-06-04 03:47:21
20053,Lori Williams,79,15543,Self-Employed,South,2019-11-10 09:49:13
20054,Candice Anderson,23,62597,Self-Employed,South,2017-12-20 16:45:12
20055,Mrs. Debra Wolfe,84,76539,Employed,East,2016-09-23 07:33:55
20056,Courtney Green,58,52700,Unemployed,South,2019-02-06 11:22:09
20057,Kristi White,60,59291,Student,West,2018-06-18 19:28:43
